"project_name","total_raised"
"cultivate dynamic niches","268032.67"
"cultivate customized e-tailers","220047.86"
"repurpose mission-critical networks","219077.30"
"maximize cross-platform communities","202999.49"
"benchmark e-business metrics","184997.22"
"utilize granular infrastructures","176724.41"
"evolve B2B action-items","130297.54"
"evolve back-end e-services","118246.02"
"cultivate holistic functionalities","107028.83"
"transition global bandwidth","99603.39"
"unleash plug-and-play supply-chains","95870.48"
"monetize ubiquitous platforms","95637.33"
"productize distributed partnerships","91376.04"
"enable enterprise experiences","90781.35"
"leverage sticky mindshare","83479.98"
"maximize leading-edge web services","82105.86"
"incentivize bricks-and-clicks convergence","78249.14"
"incentivize value-added web-readiness","76210.71"
"whiteboard customized platforms","74965.80"
"innovate interactive deliverables","73196.62"
"embrace real-time convergence","66957.53"
"disintermediate B2C convergence","57347.09"
"reinvent synergistic users","49432.25"
"seize frictionless users","47575.32"
"drive out-of-the-box channels","38811.61"
"productize global e-services","38353.09"
"drive interactive info-mediaries","35388.54"
"implement plug-and-play solutions","25238.03"
"orchestrate proactive convergence","25183.66"
